iso_code,continent,location,date,lockLevel,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IRL,Europe,Ireland,2020-03-01,0,1,1,0.143,,0,0,0.203,0.203,0.029,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-02,0,1,0,0.143,,0,0,0.203,0,0.029,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-03,0,,,0.143,,,0,,,0.029,,,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-04,0,2,1,0.286,,0,0,0.405,0.203,0.058,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-05,0,6,4,0.857,,0,0,1.215,0.81,0.174,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-06,0,13,7,1.857,,0,0,2.633,1.418,0.376,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-07,0,18,5,2.571,,0,0,3.645,1.013,0.521,,0,0,,,,18,3.645,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-08,0,19,1,2.571,,0,0,3.848,0.203,0.521,,0,0,,,,17,3.443,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-09,0,21,2,2.857,,0,0,4.253,0.405,0.579,,0,0,,,,18,3.645,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-10,0,,,2.857,,,0,,,0.579,,,0,,,,26,5.266,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-11,0,35,14,4.714,,0,0,7.088,2.835,0.955,,0,0,,,,32,6.481,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-12,5,43,8,5.286,1,1,0.143,8.708,1.62,1.07,0.203,0.203,0.029,,,,44,8.911,,,,,,,,,,,,,,31.48,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-13,5,70,27,8.143,1,0,0.143,14.176,5.468,1.649,0.203,0,0.029,,,,36,7.291,,,,,,,,,,,,,,42.59,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-14,5,91,21,10.429,1,0,0.143,18.429,4.253,2.112,0.203,0,0.029,,,,38,7.696,,,,,,,,,,,,,,42.59,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-15,5,129,38,15.714,2,1,0.286,26.125,7.696,3.182,0.405,0.203,0.058,2.32,,,41,8.303,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-16,5,169,40,21.143,2,0,0.286,34.226,8.101,4.282,0.405,0,0.058,2.37,,,55,11.139,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-17,5,223,54,28.857,2,0,0.286,45.162,10.936,5.844,0.405,0,0.058,2.43,,,61,12.354,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-18,5,292,69,36.714,2,0,0.286,59.136,13.974,7.435,0.405,0,0.058,2.47,,,80,16.202,,,,,6457,,1.308,,,,,,tests performed,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-19,5,366,74,46.143,2,0,0.143,74.122,14.986,9.345,0.405,0,0.029,2.5,,,98,19.847,,,,,7403,946,1.499,0.192,,,,,tests performed,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
