iso_code,continent,location,Week,lockLevel,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,
IRL,Europe,Ireland,2020-03-01,0,0,1,1,0.143,,0,0,0.203,0.203,0.029,,0,0,,,,,,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938
IRL,Europe,Ireland,2020-03-08,0,19,1,2.571,,0,0,3.848,0.203,0.521,,0,0,,,,17,3.443,,,,,,,,,,,,,,11.11,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-03-15,0,129,38,15.714,2,1,0.286,26.125,7.696,3.182,0.405,0.203,0.058,2.32,,,41,8.303,,,,,,,,,,,,,,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-03-22,500,785,102,93.714,3,0,0.143,158.978,20.657,18.979,0.608,0,0.029,2.23,,,177,35.846,,,,,11414,978,2.312,0.198,,,,,tests performed,48.15,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-03-29,500,2415,294,232.857,36,14,4.714,489.085,59.541,47.158,7.291,2.835,0.955,1.79,96,19.442,513,103.893,0,0,,,27475,1616,5.564,0.327,2294,0.465,9.852,0.102,tests performed,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-04-05,500,4604,331,312.714,137,17,14.429,932.4,67.034,63.331,27.745,3.443,2.922,1.57,139,28.15,702,142.169,4.027,0.816,167.136,33.848,41321,2831,8.368,0.573,1978,0.401,6.325,0.158,tests performed,85.19,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-04-12,500,8928,839,617.714,320,33,26.143,1808.094,169.914,125.099,64.806,6.683,5.294,1.47,148,29.973,853,172.749,47.322,9.584,282.923,57.297,78177,5722,15.832,1.159,5265,1.066,8.523,0.117,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-04-19,500,14758,778,832.857,571,41,35.857,2988.783,157.56,168.67,115.639,8.303,7.262,1.08,133,26.935,816,165.256,59.404,12.03,223.519,45.267,106436,2313,21.555,0.468,4037,0.818,4.847,0.206,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-04-26,500,18561,377,543.286,1063,234,70.286,3758.965,76.35,110.026,215.278,47.39,14.234,0.86,120,24.302,758,153.51,45.308,9.176,193.314,39.15,141863,8598,28.73,1.741,5061,1.025,9.316,0.107,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-05-03,500,21176,343,373.571,1265,0,28.857,4288.553,69.464,75.656,256.187,0,5.844,0.71,93,18.834,684,138.523,18.123,3.67,209.423,42.412,198972,9799,40.296,1.984,8158,1.652,21.838,0.046,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-05-10,500,22760,219,226.286,1446,17,25.857,4609.344,44.352,45.827,292.843,3.443,5.237,0.65,72,14.581,539,109.158,,,124.848,25.284,247756,6507,50.175,1.318,6969,1.411,30.797,0.032,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-05-17,500,24048,92,184,1533,15,12.429,4870.189,18.632,37.264,310.462,3.038,2.517,0.58,51,10.328,395,79.995,19.13,3.874,71.486,14.477,288634,6449,58.454,1.306,5840,1.183,31.739,0.032,tests performed,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-05-24,400,24582,76,76.286,1604,12,10.143,4978.334,15.391,15.449,324.841,2.43,2.054,0.55,49,9.923,304,61.566,10.068,2.039,74.506,15.089,319072,3509,64.618,0.711,4348,0.881,56.996,0.018,tests performed,83.33,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-05-31,400,24929,53,49.571,1650,5,6.571,5048.609,10.734,10.039,334.157,1.013,1.331,0.55,36,7.291,184,37.264,15.103,3.059,53.363,10.807,344625,3474,69.793,0.704,3650,0.739,73.631,0.014,tests performed,83.33,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
IRL,Europe,Ireland,2020-06-07,400,25183,20,36.286,1670,0,2.857,5100.049,4.05,7.349,338.208,0,0.579,0.51,34,6.886,125,25.315,3.021,0.612,27.185,5.505,363490,2828,73.614,0.573,2695,0.546,74.272,0.013,tests performed,72.22,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.938,
